, Carrier,weather ,nas,security ,late aircraft
D1,57651,3342,20147,64,16106
D2,42310,192,11417,64,13771
D3,46997,640,16101,85,15236
D4,68522,2917,19234,194,24546
D5,47648,2996,14346,111,16096
D6,35061,1488,8780,26,9565
D7,60422,1858,19112,235,23249
D8,55313,1704,14677,103,18531
D9,63469,1579,14624,3,24255
D10,93694,5412,33136,73,31742
D11,111483,6934,36743,415,40654
D12,75000,4426,24907,218,26370
D13,41223,2753,10610,125,13546
D14,48324,754,16551,29,13933
D15,29541,345,6495,270,9407
D16,64615,3133,22912,91,17307
D17,44973,1447,10707,189,16952
D18,51969,2411,17032,32,19114
D19,35276,959,7433,8,14038
D20,36527,1753,6152,63,15128
D21,91053,4844,39999,0,29398
D22,123661,8199,46989,33,42057
D23,90530,6671,22988,120,32590
D24,106854,5011,38201,37,35007
D25,78233,4407,26786,535,23981
D26,52051,1681,12989,22,20548
D27,71021,4941,30559,130,20942
D28,45321,911,8734,16,18216
D29,92755,4686,48418,68,25444
D30,90512,4817,39717,136,30681
D31,61664,2828,10047,41,28911
D32,63803,2817,16719,66,22564
D33,99404,8580,31606,125,34964
D34,117921,6361,41992,27,41978
D35,117985,6360,43091,60,43592
D36,105833,7273,35693,93,39397
D37,96314,3439,41920,44,28920
